source,title,company,location,skills,link,skills_extracted,scraped_at
hackernews,structured ai (yc f25) is hiring,unknown,unknown,[],https://www.ycombinator.com/companies/structured-ai/jobs/q3cx77y-gtm-intern,['ai'],
hackernews,trata (yc w25) is hiring founding engineers (nyc),unknown,unknown,[],https://news.ycombinator.com/item?id=47049744,[],
hackernews,turing labs (yc w20) is hiring – founding gtm sales hacker,unknown,unknown,[],https://news.ycombinator.com/item?id=47040268,[],
hackernews,cogram (yc w22) – hiring former technical founders,unknown,unknown,[],https://www.ycombinator.com/companies/cogram/jobs/LDTrViN-ex-technical-founder-product-engineer,[],
hackernews,govdash (yc w22) is hiring senior engineers (product and search) in nyc,unknown,unknown,[],https://www.workatastartup.com/companies/govdash,[],
hackernews,asimov (yc w26) is hiring remote/worldwide,unknown,unknown,[],https://news.ycombinator.com/item?id=46999753,[],
hackernews,coloop (yc s21) is hiring ex technical founders in london,unknown,unknown,[],https://www.workatastartup.com/jobs/90016,[],
hackernews,toma (yc w24) is hiring founding engineers,unknown,unknown,[],https://www.ycombinator.com/companies/toma/jobs/oONUnCf-founding-engineer-ai-products,[],
hackernews,"maihem (yc w24): hiring senior robotics perception engineer (london, on-site)",unknown,unknown,[],https://jobs.ashbyhq.com/maihem/8da3fa8b-5544-45de-a99e-888021519758,[],
hackernews,"freshpaint (yc s19) is hiring a senior swe, data",unknown,unknown,[],https://www.freshpaint.io/about?ashby_jid=3a7926ba-cf51-4084-9196-4361a7e97761,[],
hackernews,"converge (yc s23) is hiring product engineers (nyc, in-person)",unknown,unknown,[],https://www.runconverge.com/careers/product-engineer,[],
hackernews,emerge career (yc s22) is hiring a product designer,unknown,unknown,[],https://www.ycombinator.com/companies/emerge-career/jobs/omqT34S-founding-product-designer,[],
hackernews,clearspace (yc w23) is hiring an applied researcher (ml),unknown,unknown,[],https://www.ycombinator.com/companies/clearspace/jobs/GOWiDwp-research-engineer-at-clearspace,['ml'],
hackernews,collectwise (yc f24) is hiring,unknown,unknown,[],https://www.ycombinator.com/companies/collectwise/jobs/ZunnO6k-ai-agent-engineer,[],
